threshold,precision,recall,f1
0.3,0.5789,0.8148,0.6769
0.35,0.597,0.7407,0.6612
0.4,0.6167,0.6852,0.6491
0.45,0.6296,0.6296,0.6296
0.5,0.6458,0.5741,0.6078
0.55,0.6429,0.5,0.5625
0.6,0.6944,0.463,0.5556
0.65,0.7188,0.4259,0.5349
0.7,0.75,0.3333,0.4615
